task,model,fold,test_subject,train_size,test_size,train_time,test_time,accuracy,precision,recall,f1
DREAMER_binary_EEG_Hybrid,Hybrid CNN-QNN,7,7,396,18,8.11,0.0069,0.6111111111111112,0.5625,0.525974025974026,0.48148148148148145
DREAMER_binary_EEG_Hybrid,Hybrid CNN-QNN,8,8,396,18,8.02,0.0066,0.5555555555555556,0.5555555555555556,0.5692307692307692,0.5324675324675324
DREAMER_binary_EEG_Hybrid,Hybrid CNN-QNN,9,9,396,18,8.15,0.0087,0.2777777777777778,0.35714285714285715,0.3769230769230769,0.27554179566563464
DREAMER_binary_EEG_Hybrid,Hybrid CNN-QNN,10,10,396,18,7.82,0.0089,0.4444444444444444,0.41558441558441556,0.41558441558441556,0.41558441558441556
DREAMER_binary_EEG_Hybrid,Hybrid CNN-QNN,11,11,396,18,8.03,0.0088,0.5,0.45833333333333337,0.461038961038961,0.4581939799331104
DREAMER_binary_EEG_Hybrid,Hybrid CNN-QNN,12,12,396,18,7.99,0.0081,0.2222222222222222,0.20833333333333331,0.2375,0.2125
DREAMER_binary_EEG_Hybrid,Hybrid CNN-QNN,13,13,396,18,8.14,0.009,0.3888888888888889,0.38888888888888884,0.3875,0.38699690402476783
DREAMER_binary_EEG_Hybrid,Hybrid CNN-QNN,14,14,396,18,8.12,0.0106,0.4444444444444444,0.5,0.5,0.4444444444444444
DREAMER_binary_EEG_Hybrid,Hybrid CNN-QNN,15,15,396,18,8.11,0.0089,0.3888888888888889,0.3875,0.38888888888888884,0.38699690402476783
DREAMER_binary_EEG_Hybrid,Hybrid CNN-QNN,16,16,396,18,8.24,0.0089,0.7222222222222222,0.7207792207792207,0.7125,0.7142857142857142
DREAMER_binary_EEG_Hybrid,Hybrid CNN-QNN,17,17,396,18,8.02,0.0085,0.6111111111111112,0.5416666666666666,0.5461538461538462,0.5418181818181818
DREAMER_binary_EEG_Hybrid,Hybrid CNN-QNN,18,18,396,18,8.17,0.0075,0.3888888888888889,0.375,0.3888888888888889,0.37142857142857144
DREAMER_binary_EEG_Hybrid,Hybrid CNN-QNN,19,19,396,18,8.18,0.0096,0.2777777777777778,0.33116883116883117,0.26785714285714285,0.2571428571428571
DREAMER_binary_EEG_Hybrid,Hybrid CNN-QNN,20,20,396,18,7.91,0.008,0.6111111111111112,0.3235294117647059,0.4583333333333333,0.3793103448275862
DREAMER_binary_EEG_Hybrid,Hybrid CNN-QNN,21,21,396,18,8.12,0.0085,0.5,0.71875,0.5909090909090909,0.4581939799331104
DREAMER_binary_EEG_Hybrid,Hybrid CNN-QNN,22,22,396,18,8.11,0.0069,0.5555555555555556,0.625,0.625,0.5555555555555556
DREAMER_binary_EEG_Hybrid,Hybrid CNN-QNN,23,23,396,18,8.02,0.009,0.2222222222222222,0.125,0.3333333333333333,0.18181818181818182
