task,config,feature_map,n_qubits,reps,entanglement,f1_mean,f1_std,acc_mean,train_time_mean
DREAMER_binary_EEG_QSVM,PauliFeatureMap_n6_r2_circular_robust,PauliFeatureMap,6,2,circular,0.38108089161862974,0.11039348096337089,0.4855072463768116,1.9182608695652172
DREAMER_binary_EEG_QSVM,ZZFeatureMap_n6_r2_circular_robust,ZZFeatureMap,6,2,circular,0.38108089161862974,0.11039348096337089,0.4855072463768116,1.2556521739130435
DREAMER_binary_EEG_QSVM,PauliFeatureMap_n4_r1_circular_robust,PauliFeatureMap,4,1,circular,0.3679596466606346,0.11657719738836451,0.4830917874396135,0.7143478260869565
DREAMER_binary_EEG_QSVM,ZZFeatureMap_n4_r1_circular_robust,ZZFeatureMap,4,1,circular,0.3679596466606346,0.11657719738836451,0.4830917874396135,0.7204347826086956
DREAMER_binary_EEG_QSVM,PauliFeatureMap_n4_r2_full_robust,PauliFeatureMap,4,2,full,0.3648163260031362,0.10670557555760059,0.4758454106280193,1.101304347826087
DREAMER_binary_EEG_QSVM,ZZFeatureMap_n4_r2_full_robust,ZZFeatureMap,4,2,full,0.3648163260031362,0.10670557555760059,0.4758454106280193,1.1060869565217393
DREAMER_binary_EEG_QSVM,PauliFeatureMap_n4_r2_circular_robust,PauliFeatureMap,4,2,circular,0.36425560991393885,0.117690025668478,0.47342995169082125,0.9565217391304348
DREAMER_binary_EEG_QSVM,ZZFeatureMap_n4_r2_circular_robust,ZZFeatureMap,4,2,circular,0.36425560991393885,0.117690025668478,0.47342995169082125,1.0060869565217392
DREAMER_binary_EEG_QSVM,PauliFeatureMap_n6_r1_linear_robust,PauliFeatureMap,6,1,linear,0.36325891861789195,0.09668741247248178,0.4758454106280193,0.8378260869565217
DREAMER_binary_EEG_QSVM,ZZFeatureMap_n6_r1_linear_robust,ZZFeatureMap,6,1,linear,0.36325891861789195,0.09668741247248178,0.4758454106280193,0.8356521739130435
DREAMER_binary_EEG_QSVM,PauliFeatureMap_n4_r1_full_robust,PauliFeatureMap,4,1,full,0.3624881434992907,0.10417174458615695,0.4758454106280193,0.7878260869565218
DREAMER_binary_EEG_QSVM,ZZFeatureMap_n4_r1_full_robust,ZZFeatureMap,4,1,full,0.3624881434992907,0.10417174458615695,0.4758454106280193,0.7882608695652175
DREAMER_binary_EEG_QSVM,PauliFeatureMap_n4_r1_linear_robust,PauliFeatureMap,4,1,linear,0.356636057364134,0.09669091228411113,0.48067632850241543,0.682608695652174
DREAMER_binary_EEG_QSVM,ZZFeatureMap_n4_r1_linear_robust,ZZFeatureMap,4,1,linear,0.356636057364134,0.09669091228411113,0.48067632850241543,0.6882608695652174
DREAMER_binary_EEG_QSVM,PauliFeatureMap_n6_r2_linear_robust,PauliFeatureMap,6,2,linear,0.35216115024746647,0.11750469630876752,0.44685990338164255,1.1717391304347826
DREAMER_binary_EEG_QSVM,ZZFeatureMap_n6_r2_linear_robust,ZZFeatureMap,6,2,linear,0.35216115024746647,0.11750469630876752,0.44685990338164255,1.1756521739130434
DREAMER_binary_EEG_QSVM,PauliFeatureMap_n4_r2_linear_robust,PauliFeatureMap,4,2,linear,0.34469024878903143,0.09755872933050257,0.4613526570048309,0.8873913043478261
DREAMER_binary_EEG_QSVM,ZZFeatureMap_n4_r2_linear_robust,ZZFeatureMap,4,2,linear,0.34469024878903143,0.09755872933050257,0.4613526570048309,0.8943478260869565
WESAD_3class_QSVM,PauliFeatureMap_n3_r2_circular_robust,PauliFeatureMap,3,2,circular,0.38978321016711576,0.17388279231838386,0.42303377315236,1.606
WESAD_3class_QSVM,PauliFeatureMap_n3_r2_full_robust,PauliFeatureMap,3,2,full,0.38978321016711576,0.17388279231838386,0.42303377315236,1.5800000000000003
WESAD_3class_QSVM,ZZFeatureMap_n3_r2_circular_robust,ZZFeatureMap,3,2,circular,0.38978321016711576,0.17388279231838386,0.42303377315236,7.0806666666666676
WESAD_3class_QSVM,ZZFeatureMap_n3_r2_full_robust,ZZFeatureMap,3,2,full,0.38978321016711576,0.17388279231838386,0.42303377315236,1.608
WESAD_3class_QSVM,PauliFeatureMap_n3_r1_linear_robust,PauliFeatureMap,3,1,linear,0.3870680074486535,0.1626031425055971,0.40991991064521943,1.236
WESAD_3class_QSVM,ZZFeatureMap_n3_r1_linear_robust,ZZFeatureMap,3,1,linear,0.3870680074486535,0.1626031425055971,0.40991991064521943,1.2713333333333334
WESAD_3class_QSVM,PauliFeatureMap_n3_r2_linear_robust,PauliFeatureMap,3,2,linear,0.3857441607928475,0.1524851426340116,0.4093514368819492,1.46
WESAD_3class_QSVM,ZZFeatureMap_n3_r2_linear_robust,ZZFeatureMap,3,2,linear,0.3857441607928475,0.1524851426340116,0.4093514368819492,1.514
WESAD_3class_QSVM,PauliFeatureMap_n3_r1_circular_robust,PauliFeatureMap,3,1,circular,0.37806964091331724,0.16312161079139073,0.41555069270368084,1.302
WESAD_3class_QSVM,PauliFeatureMap_n3_r1_full_robust,PauliFeatureMap,3,1,full,0.37806964091331724,0.16312161079139073,0.41555069270368084,1.296
WESAD_3class_QSVM,ZZFeatureMap_n3_r1_circular_robust,ZZFeatureMap,3,1,circular,0.37806964091331724,0.16312161079139073,0.41555069270368084,1.3426666666666667
WESAD_3class_QSVM,ZZFeatureMap_n3_r1_full_robust,ZZFeatureMap,3,1,full,0.37806964091331724,0.16312161079139073,0.41555069270368084,1.3273333333333333
WESAD_3class_QSVM,PauliFeatureMap_n4_r1_full_robust,PauliFeatureMap,4,1,full,0.37590738411258184,0.10235093021517545,0.40067176642922603,1.5513333333333332
WESAD_3class_QSVM,ZZFeatureMap_n4_r1_full_robust,ZZFeatureMap,4,1,full,0.37590738411258184,0.10235093021517545,0.40067176642922603,8.372666666666667
WESAD_3class_QSVM,PauliFeatureMap_n4_r2_linear_robust,PauliFeatureMap,4,2,linear,0.36277350966724364,0.09744530476292078,0.395238653329269,1.692
WESAD_3class_QSVM,ZZFeatureMap_n4_r2_linear_robust,ZZFeatureMap,4,2,linear,0.36277350966724364,0.09744530476292078,0.395238653329269,9.157333333333334
WESAD_3class_QSVM,PauliFeatureMap_n4_r2_linear_standard,PauliFeatureMap,4,2,linear,0.3606983053702191,0.07305982444343825,0.3985011660049066,1.6846666666666665
WESAD_3class_QSVM,ZZFeatureMap_n4_r2_linear_standard,ZZFeatureMap,4,2,linear,0.3606983053702191,0.07305982444343825,0.3985011660049066,9.26
WESAD_3class_QSVM,PauliFeatureMap_n3_r2_linear_standard,PauliFeatureMap,3,2,linear,0.3527323119713962,0.10416512568493644,0.3773875097886771,1.4726666666666666
WESAD_3class_QSVM,ZZFeatureMap_n3_r2_linear_standard,ZZFeatureMap,3,2,linear,0.3527323119713962,0.10416512568493644,0.3773875097886771,1.5033333333333334
WESAD_3class_QSVM,PauliFeatureMap_n4_r1_linear_robust,PauliFeatureMap,4,1,linear,0.3521162980480399,0.11322857839111854,0.3750173678889256,1.3533333333333333
WESAD_3class_QSVM,ZZFeatureMap_n4_r1_linear_robust,ZZFeatureMap,4,1,linear,0.3521162980480399,0.11322857839111854,0.3750173678889256,7.585333333333334
WESAD_3class_QSVM,PauliFeatureMap_n3_r1_linear_standard,PauliFeatureMap,3,1,linear,0.35147180691988844,0.14909188257994155,0.3801706538780696,1.2306666666666668
WESAD_3class_QSVM,ZZFeatureMap_n3_r1_linear_standard,ZZFeatureMap,3,1,linear,0.35147180691988844,0.14909188257994155,0.3801706538780696,1.274
WESAD_3class_QSVM,PauliFeatureMap_n4_r1_circular_robust,PauliFeatureMap,4,1,circular,0.3405888198934791,0.11978388554442163,0.36306169537630295,1.422
WESAD_3class_QSVM,ZZFeatureMap_n4_r1_circular_robust,ZZFeatureMap,4,1,circular,0.3405888198934791,0.11978388554442163,0.36306169537630295,7.8133333333333335
WESAD_3class_QSVM,PauliFeatureMap_n4_r2_full_robust,PauliFeatureMap,4,2,full,0.34026931425051055,0.10203865821851789,0.3645687685767321,2.0486666666666666
WESAD_3class_QSVM,ZZFeatureMap_n4_r2_full_robust,ZZFeatureMap,4,2,full,0.34026931425051055,0.10203865821851789,0.3645687685767321,1.9873333333333332
WESAD_3class_QSVM,PauliFeatureMap_n4_r2_circular_robust,PauliFeatureMap,4,2,circular,0.33421325548060304,0.09875432446864917,0.3575596890941461,1.8093333333333335
WESAD_3class_QSVM,ZZFeatureMap_n4_r2_circular_robust,ZZFeatureMap,4,2,circular,0.33421325548060304,0.09875432446864917,0.3575596890941461,1.78
