task,model,fold,test_subject,train_size,test_size,train_time,test_time,accuracy,precision,recall,f1
WESAD_3class,Logistic Regression,1,2,450,67,0.0465,0.0,0.5522388059701493,0.25227686703096536,0.3546273546273546,0.2841136454581833
WESAD_3class,SVM (RBF),1,2,450,67,0.0223,0.0048,0.5074626865671642,0.510752688172043,0.3276003276003276,0.27777777777777773
WESAD_3class,Random Forest,1,2,450,67,0.3403,0.0402,0.7164179104477612,0.8174019607843137,0.5859735333419545,0.602128372716608
WESAD_3class,Logistic Regression,2,3,450,68,0.0193,0.0,0.7941176470588235,0.77989417989418,0.8279279279279278,0.7961838356575198
WESAD_3class,SVM (RBF),2,3,450,68,0.0348,0.0,0.6617647058823529,0.782967032967033,0.6336609336609337,0.5744637385086824
WESAD_3class,Random Forest,2,3,450,68,0.3413,0.032,0.7794117647058824,0.7922222222222222,0.8359131859131859,0.7733270313915476
WESAD_3class,Logistic Regression,3,4,450,68,0.0248,0.0,0.8529411764705882,0.8046511627906977,0.7395577395577396,0.75
WESAD_3class,SVM (RBF),3,4,450,68,0.0301,0.0086,0.9411764705882353,0.9674796747967479,0.8787878787878788,0.9088319088319089
WESAD_3class,Random Forest,3,4,450,68,0.3238,0.0473,0.9117647058823529,0.9534883720930232,0.8181818181818182,0.85
WESAD_3class,Logistic Regression,4,5,450,70,0.029,0.0,0.4714285714285714,0.7430555555555555,0.6837606837606837,0.49014744384731984
WESAD_3class,SVM (RBF),4,5,450,70,0.0289,0.0015,0.6857142857142857,0.7222222222222223,0.7684537684537686,0.6793158444701094
WESAD_3class,Random Forest,4,5,450,70,0.3499,0.042,0.5857142857142857,0.6909090909090909,0.7086247086247086,0.589522677757972
WESAD_3class,Logistic Regression,5,6,450,70,0.0188,0.0,0.8857142857142857,0.8454790823211876,0.8510290878711931,0.845906432748538
WESAD_3class,SVM (RBF),5,6,450,70,0.0238,0.0039,0.8571428571428571,0.8296296296296296,0.7473608263081948,0.7707181667847861
WESAD_3class,Random Forest,5,6,450,70,0.2946,0.0438,0.8857142857142857,0.8603174603174603,0.8079668869142553,0.8278027385537013
WESAD_3class,Logistic Regression,6,7,450,70,0.0431,0.0,0.6857142857142857,0.7653769841269842,0.8119658119658121,0.6981268400723875
WESAD_3class,SVM (RBF),6,7,450,70,0.0332,0.008,0.6857142857142857,0.756649688737974,0.7902097902097903,0.69896004378763
WESAD_3class,Random Forest,6,7,450,70,0.3632,0.0301,0.7,0.7496251874062968,0.8205128205128206,0.703937168502652
WESAD_3class,Logistic Regression,7,8,450,70,0.0109,0.0,0.8428571428571429,0.8252832438878951,0.7892078681552365,0.7934156378600822
WESAD_3class,SVM (RBF),7,8,450,70,0.0283,0.0022,0.6142857142857143,0.6373015873015873,0.49859497227918276,0.5150908416759362
WESAD_3class,Random Forest,7,8,450,70,0.3008,0.0428,0.8,0.6980749746707193,0.6479076479076479,0.6604015780486369
WESAD_3class,Logistic Regression,8,9,450,70,0.0208,0.0,0.5428571428571428,0.589516426725729,0.39970760233918123,0.4291922069699847
WESAD_3class,SVM (RBF),8,9,450,70,0.0268,0.0018,0.5142857142857142,0.34953703703703703,0.36169590643274857,0.32803617571059435
WESAD_3class,Random Forest,8,9,450,70,0.345,0.0342,0.8,0.6907407407407407,0.6634502923976608,0.6589534609024333
WESAD_3class,Logistic Regression,9,10,450,71,0.0143,0.0,0.38028169014084506,0.2606837606837607,0.5757575757575758,0.3441975308641975
WESAD_3class,SVM (RBF),9,10,450,71,0.0258,0.0,0.2535211267605634,0.3541666666666667,0.3181818181818182,0.30416857535501607
WESAD_3class,Random Forest,9,10,450,71,0.2975,0.0302,0.4647887323943662,0.43434343434343425,0.4944178628389155,0.42603815937149275
WESAD_3class,Logistic Regression,10,11,450,70,0.0122,0.0,0.6285714285714286,0.7657657657657658,0.7719298245614036,0.6461111111111111
WESAD_3class,SVM (RBF),10,11,450,70,0.0279,0.0,0.5714285714285714,0.7560975609756099,0.7368421052631579,0.5903010033444817
WESAD_3class,Random Forest,10,11,450,70,0.3292,0.0451,0.6857142857142857,0.7411294352823589,0.7639553429027113,0.6824675324675326
WESAD_3class,Logistic Regression,11,13,450,70,0.0196,0.0,0.5571428571428572,0.43586956521739134,0.49122807017543857,0.42622950819672134
WESAD_3class,SVM (RBF),11,13,450,70,0.0288,0.003,0.7428571428571429,0.6825261158594492,0.7129186602870813,0.6800653594771241
WESAD_3class,Random Forest,11,13,450,70,0.3659,0.0441,0.6,0.648936170212766,0.5606060606060607,0.5169934640522875
