model,within_dataset_f1,cross_dataset_f1,f1_drop
Logistic Regression,0.8197,0.4188702151067947,0.4008297848932053
Random Forest,0.8769,0.4362745098039216,0.44062549019607844
SVM (RBF),0.8474,0.3988431050489181,0.4485568949510819
