task,accuracy_mean,accuracy_std,precision_mean,recall_mean,f1_mean,f1_std,train_time_mean,test_time_mean,model
WESAD_3class_CNN,0.5366,0.0072,0.1789,0.3333,0.2328,0.002,265.986,0.1266,1D-CNN
WESAD_binary_CNN,0.642,0.01,0.321,0.5,0.391,0.0037,116.4973,0.0527,1D-CNN
