task,ansatz,n_qubits,reps,entanglement,config,fold,test_subject,train_time,test_time,status,accuracy,precision,recall,f1
WESAD_binary_VQC,RealAmplitudes,3,1,circular,RealAmplitudes_n3_r1_circular,14,16,75.54,0.8802,ok,0.5901639344262295,0.6022727272727273,0.6101398601398601,0.5861601085481682
WESAD_binary_VQC,RealAmplitudes,3,1,circular,RealAmplitudes_n3_r1_circular,15,17,71.96,0.8922,ok,0.4426229508196721,0.4673423423423424,0.4668192219679633,0.4424731182795699
WESAD_binary_VQC,RealAmplitudes,4,1,linear,RealAmplitudes_n4_r1_linear,1,2,83.72,0.9577,ok,0.3392857142857143,0.35,0.33357041251778097,0.32879818594104304
WESAD_binary_VQC,RealAmplitudes,4,1,linear,RealAmplitudes_n4_r1_linear,2,3,84.18,0.9478,ok,0.5964912280701754,0.5703324808184144,0.5743243243243243,0.5705863085489682
WESAD_binary_VQC,RealAmplitudes,4,1,linear,RealAmplitudes_n4_r1_linear,3,4,83.64,0.9785,ok,0.5964912280701754,0.5991379310344828,0.6087837837837837,0.5883830455259027
WESAD_binary_VQC,RealAmplitudes,4,1,linear,RealAmplitudes_n4_r1_linear,4,5,62.36,0.1945,ok,0.6440677966101694,0.6223529411764706,0.6333333333333333,0.6228310502283105
WESAD_binary_VQC,RealAmplitudes,4,1,linear,RealAmplitudes_n4_r1_linear,5,6,83.59,1.0431,ok,0.4576271186440678,0.44502314814814814,0.44047619047619047,0.4380952380952381
WESAD_binary_VQC,RealAmplitudes,4,1,linear,RealAmplitudes_n4_r1_linear,6,7,85.91,0.9761,ok,0.6440677966101694,0.606516290726817,0.608974358974359,0.6075388026607539
WESAD_binary_VQC,RealAmplitudes,4,1,linear,RealAmplitudes_n4_r1_linear,7,8,84.01,0.9988,ok,0.4406779661016949,0.443103448275862,0.43796992481203006,0.4302019315188762
WESAD_binary_VQC,RealAmplitudes,4,1,linear,RealAmplitudes_n4_r1_linear,8,9,83.76,0.987,ok,0.5344827586206896,0.5344827586206897,0.5381578947368422,0.5229972586049345
WESAD_binary_VQC,RealAmplitudes,4,1,linear,RealAmplitudes_n4_r1_linear,9,10,84.2,0.994,ok,0.6166666666666667,0.5904817861339601,0.5921052631578947,0.5911111111111111
WESAD_binary_VQC,RealAmplitudes,4,1,linear,RealAmplitudes_n4_r1_linear,10,11,84.31,1.0012,ok,0.5084745762711864,0.5422705314009661,0.5438596491228069,0.5079091170549324
WESAD_binary_VQC,RealAmplitudes,4,1,linear,RealAmplitudes_n4_r1_linear,11,13,84.85,1.0033,ok,0.5423728813559322,0.5448275862068965,0.5488721804511278,0.533801580333626
WESAD_binary_VQC,RealAmplitudes,4,1,linear,RealAmplitudes_n4_r1_linear,12,14,84.29,1.0109,ok,0.6440677966101694,0.6214285714285714,0.6278195488721805,0.6228310502283105
WESAD_binary_VQC,RealAmplitudes,4,1,linear,RealAmplitudes_n4_r1_linear,13,15,85.16,0.9802,ok,0.48333333333333334,0.49663299663299665,0.4964114832535885,0.47972027972027975
WESAD_binary_VQC,RealAmplitudes,4,1,linear,RealAmplitudes_n4_r1_linear,14,16,84.25,1.0037,ok,0.6229508196721312,0.6352813852813852,0.6456876456876457,0.6192672998643147
WESAD_binary_VQC,RealAmplitudes,4,1,linear,RealAmplitudes_n4_r1_linear,15,17,83.93,1.0168,ok,0.5409836065573771,0.5514069264069265,0.5543478260869565,0.5378787878787878
WESAD_binary_VQC,RealAmplitudes,4,1,circular,RealAmplitudes_n4_r1_circular,1,2,84.7,0.9532,ok,0.5178571428571429,0.5178571428571429,0.5199146514935988,0.5050736497545009
WESAD_binary_VQC,RealAmplitudes,4,1,circular,RealAmplitudes_n4_r1_circular,2,3,84.2,0.9424,ok,0.49122807017543857,0.49384236453201974,0.49324324324324326,0.48100470957613817
WESAD_binary_VQC,RealAmplitudes,4,1,circular,RealAmplitudes_n4_r1_circular,3,4,82.52,0.9548,ok,0.5614035087719298,0.5871212121212122,0.5932432432432433,0.5592329106093412
WESAD_binary_VQC,RealAmplitudes,4,1,circular,RealAmplitudes_n4_r1_circular,4,5,85.44,0.991,ok,0.6440677966101694,0.5993421052631579,0.5967948717948718,0.5978578383641675
WESAD_binary_VQC,RealAmplitudes,4,1,circular,RealAmplitudes_n4_r1_circular,5,6,85.44,1.001,ok,0.5084745762711864,0.49125874125874125,0.4906015037593985,0.4872640095894516
WESAD_binary_VQC,RealAmplitudes,4,1,circular,RealAmplitudes_n4_r1_circular,6,7,84.06,1.0025,ok,0.5423728813559322,0.539655172413793,0.5442307692307693,0.5288376220053239
WESAD_binary_VQC,RealAmplitudes,4,1,circular,RealAmplitudes_n4_r1_circular,7,8,85.07,1.0071,ok,0.4745762711864407,0.5066425120772947,0.5068922305764412,0.47397181478285877
