task,ansatz,n_qubits,reps,entanglement,config,fold,test_subject,train_time,test_time,status,accuracy,precision,recall,f1
WESAD_binary_VQC,RealAmplitudes,4,1,linear,RealAmplitudes_n4_r1_linear,3,4,84.05,0.704,ok,0.631578947368421,0.6457816377171216,0.6587837837837838,0.6274509803921569
WESAD_binary_VQC,RealAmplitudes,4,1,linear,RealAmplitudes_n4_r1_linear,4,5,83.04,0.6328,ok,0.576271186440678,0.5630787037037037,0.5698717948717948,0.5579862151633204
WESAD_binary_VQC,RealAmplitudes,4,1,linear,RealAmplitudes_n4_r1_linear,5,6,82.82,0.7273,ok,0.6440677966101694,0.6370967741935484,0.6491228070175439,0.6335403726708074
WESAD_binary_VQC,RealAmplitudes,4,1,linear,RealAmplitudes_n4_r1_linear,6,7,84.18,0.7947,ok,0.4406779661016949,0.4592074592074592,0.4551282051282051,0.43483309143686505
WESAD_binary_VQC,RealAmplitudes,4,1,linear,RealAmplitudes_n4_r1_linear,7,8,82.48,0.6981,ok,0.4576271186440678,0.43411764705882355,0.4298245614035088,0.42995169082125606
WESAD_binary_VQC,RealAmplitudes,4,1,linear,RealAmplitudes_n4_r1_linear,8,9,83.0,0.7533,ok,0.39655172413793105,0.4068100358422939,0.3973684210526316,0.38763197586727
WESAD_binary_VQC,RealAmplitudes,4,1,linear,RealAmplitudes_n4_r1_linear,9,10,83.09,0.6903,ok,0.4666666666666667,0.4575892857142857,0.4545454545454546,0.4514285714285714
WESAD_binary_VQC,RealAmplitudes,4,1,linear,RealAmplitudes_n4_r1_linear,10,11,82.87,0.599,ok,0.5423728813559322,0.5061425061425062,0.506265664160401,0.5060465116279069
WESAD_binary_VQC,RealAmplitudes,4,1,linear,RealAmplitudes_n4_r1_linear,11,13,83.91,0.8334,ok,0.6271186440677966,0.6157407407407407,0.62531328320802,0.6136904761904762
WESAD_binary_VQC,RealAmplitudes,4,1,linear,RealAmplitudes_n4_r1_linear,12,14,81.87,0.8319,ok,0.4406779661016949,0.443103448275862,0.43796992481203006,0.4302019315188762
WESAD_binary_VQC,RealAmplitudes,4,1,linear,RealAmplitudes_n4_r1_linear,13,15,82.27,0.6089,ok,0.43333333333333335,0.45022624434389136,0.4473684210526316,0.4308035714285714
